2026-02-05 23:29:06 [INFO] Using device: cuda
2026-02-05 23:29:06 [INFO] Model: attention_unet (31,562,643 params)
2026-02-05 23:29:06 [INFO] Train: 10000 samples, Val: 2000 samples
2026-02-05 23:29:07 [INFO] Training for 100 epochs on cuda
2026-02-05 23:29:07 [INFO] Model parameters: 31,562,643
2026-02-05 23:29:07 [INFO] Curriculum Learning Schedule:
--------------------------------------------------
  Phase 'easy': epochs 1-15, noise_scale=0.10, mixed_prob=0.00
  Phase 'medium': epochs 16-35, noise_scale=0.35, mixed_prob=0.20
  Phase 'hard': epochs 36-60, noise_scale=0.70, mixed_prob=0.40
  Phase 'extreme': epochs 61-100, noise_scale=1.00, mixed_prob=0.60
2026-02-05 23:45:58 [INFO] Epoch 2 [500/2500] Loss: 0.0803 | Phase: easy | Scale: 0.10
2026-02-05 23:46:08 [INFO] Epoch 2 [550/2500] Loss: 0.0404 | Phase: easy | Scale: 0.10
2026-02-05 23:46:18 [INFO] Epoch 2 [600/2500] Loss: 0.0491 | Phase: easy | Scale: 0.10
2026-02-05 23:46:29 [INFO] Epoch 2 [650/2500] Loss: 0.0597 | Phase: easy | Scale: 0.10
2026-02-05 23:46:39 [INFO] Epoch 2 [700/2500] Loss: 0.0342 | Phase: easy | Scale: 0.10
2026-02-05 23:46:49 [INFO] Epoch 2 [750/2500] Loss: 0.0726 | Phase: easy | Scale: 0.10
2026-02-05 23:47:00 [INFO] Epoch 2 [800/2500] Loss: 0.0477 | Phase: easy | Scale: 0.10
2026-02-05 23:47:10 [INFO] Epoch 2 [850/2500] Loss: 0.0789 | Phase: easy | Scale: 0.10
2026-02-05 23:47:20 [INFO] Epoch 2 [900/2500] Loss: 0.0315 | Phase: easy | Scale: 0.10
2026-02-05 23:47:31 [INFO] Epoch 2 [950/2500] Loss: 0.0161 | Phase: easy | Scale: 0.10
2026-02-05 23:47:42 [INFO] Epoch 2 [1000/2500] Loss: 0.0166 | Phase: easy | Scale: 0.10
2026-02-05 23:47:53 [INFO] Epoch 2 [1050/2500] Loss: 0.0531 | Phase: easy | Scale: 0.10
2026-02-05 23:48:03 [INFO] Epoch 2 [1100/2500] Loss: 0.0414 | Phase: easy | Scale: 0.10
2026-02-05 23:48:14 [INFO] Epoch 2 [1150/2500] Loss: 0.0161 | Phase: easy | Scale: 0.10
2026-02-05 23:48:24 [INFO] Epoch 2 [1200/2500] Loss: 0.0211 | Phase: easy | Scale: 0.10
2026-02-05 23:48:35 [INFO] Epoch 2 [1250/2500] Loss: 0.0460 | Phase: easy | Scale: 0.10
2026-02-05 23:48:45 [INFO] Epoch 2 [1300/2500] Loss: 0.0227 | Phase: easy | Scale: 0.10
2026-02-05 23:48:56 [INFO] Epoch 2 [1350/2500] Loss: 0.0406 | Phase: easy | Scale: 0.10
2026-02-05 23:49:06 [INFO] Epoch 2 [1400/2500] Loss: 0.0168 | Phase: easy | Scale: 0.10
2026-02-05 23:49:17 [INFO] Epoch 2 [1450/2500] Loss: 0.0469 | Phase: easy | Scale: 0.10
2026-02-05 23:49:27 [INFO] Epoch 2 [1500/2500] Loss: 0.0228 | Phase: easy | Scale: 0.10
2026-02-05 23:49:38 [INFO] Epoch 2 [1550/2500] Loss: 0.0121 | Phase: easy | Scale: 0.10
2026-02-05 23:49:49 [INFO] Epoch 2 [1600/2500] Loss: 0.0210 | Phase: easy | Scale: 0.10
2026-02-05 23:49:59 [INFO] Epoch 2 [1650/2500] Loss: 0.0506 | Phase: easy | Scale: 0.10
2026-02-05 23:50:11 [INFO] Epoch 2 [1700/2500] Loss: 0.0142 | Phase: easy | Scale: 0.10
2026-02-05 23:50:23 [INFO] Epoch 2 [1750/2500] Loss: 0.0100 | Phase: easy | Scale: 0.10
2026-02-05 23:50:35 [INFO] Epoch 2 [1800/2500] Loss: 0.0299 | Phase: easy | Scale: 0.10
2026-02-05 23:50:45 [INFO] Epoch 2 [1850/2500] Loss: 0.0367 | Phase: easy | Scale: 0.10
2026-02-05 23:50:56 [INFO] Epoch 2 [1900/2500] Loss: 0.0090 | Phase: easy | Scale: 0.10
2026-02-05 23:51:07 [INFO] Epoch 2 [1950/2500] Loss: 0.0055 | Phase: easy | Scale: 0.10
2026-02-05 23:51:17 [INFO] Epoch 2 [2000/2500] Loss: 0.0045 | Phase: easy | Scale: 0.10
2026-02-05 23:51:28 [INFO] Epoch 2 [2050/2500] Loss: 0.0196 | Phase: easy | Scale: 0.10
2026-02-05 23:51:38 [INFO] Epoch 2 [2100/2500] Loss: 0.0197 | Phase: easy | Scale: 0.10
2026-02-05 23:51:48 [INFO] Epoch 2 [2150/2500] Loss: 0.0306 | Phase: easy | Scale: 0.10
2026-02-05 23:51:59 [INFO] Epoch 2 [2200/2500] Loss: 0.0244 | Phase: easy | Scale: 0.10
2026-02-05 23:52:09 [INFO] Epoch 2 [2250/2500] Loss: 0.0058 | Phase: easy | Scale: 0.10
2026-02-05 23:52:19 [INFO] Epoch 2 [2300/2500] Loss: 0.0137 | Phase: easy | Scale: 0.10
2026-02-05 23:52:30 [INFO] Epoch 2 [2350/2500] Loss: 0.0083 | Phase: easy | Scale: 0.10
2026-02-05 23:52:40 [INFO] Epoch 2 [2400/2500] Loss: 0.0054 | Phase: easy | Scale: 0.10
2026-02-05 23:52:50 [INFO] Epoch 2 [2450/2500] Loss: 0.0138 | Phase: easy | Scale: 0.10
2026-02-05 23:58:23 [INFO] Epoch 2/100 (856.6s) | Phase: easy | LR: 6.67e-05 | Train Loss: 0.0481 | Val Loss: 0.3697 | Val Dice: 0.8884 | Val IoU: 0.7992
2026-02-05 23:58:30 [INFO] Epoch 3 [0/2500] Loss: 0.0077 | Phase: easy | Scale: 0.10
2026-02-05 23:58:40 [INFO] Epoch 3 [50/2500] Loss: 0.0213 | Phase: easy | Scale: 0.10
2026-02-05 23:58:50 [INFO] Epoch 3 [100/2500] Loss: 0.0044 | Phase: easy | Scale: 0.10
2026-02-05 23:59:01 [INFO] Epoch 3 [150/2500] Loss: 0.0068 | Phase: easy | Scale: 0.10
2026-02-05 23:59:11 [INFO] Epoch 3 [200/2500] Loss: 0.0031 | Phase: easy | Scale: 0.10
2026-02-05 23:59:21 [INFO] Epoch 3 [250/2500] Loss: 0.0287 | Phase: easy | Scale: 0.10
2026-02-05 23:59:32 [INFO] Epoch 3 [300/2500] Loss: 0.0042 | Phase: easy | Scale: 0.10
2026-02-05 23:59:42 [INFO] Epoch 3 [350/2500] Loss: 0.0090 | Phase: easy | Scale: 0.10
2026-02-05 23:59:52 [INFO] Epoch 3 [400/2500] Loss: 0.0047 | Phase: easy | Scale: 0.10
2026-02-06 00:00:03 [INFO] Epoch 3 [450/2500] Loss: 0.0077 | Phase: easy | Scale: 0.10
2026-02-06 00:00:13 [INFO] Epoch 3 [500/2500] Loss: 0.0022 | Phase: easy | Scale: 0.10
2026-02-06 00:00:24 [INFO] Epoch 3 [550/2500] Loss: 0.0088 | Phase: easy | Scale: 0.10
2026-02-06 00:00:34 [INFO] Epoch 3 [600/2500] Loss: 0.0066 | Phase: easy | Scale: 0.10
2026-02-06 00:00:44 [INFO] Epoch 3 [650/2500] Loss: 0.0064 | Phase: easy | Scale: 0.10
